Provider Team ID,Master Team ID,Team Name,Club Name,Age Group,Gender,State Code,Match Method,Confidence,Division
12,c8a61147-1daa-41ac-a702-645b7d75ed99,Real Colorado U13 MLS NEXT HD,Real Colorado,u13,Male,CO,manual,100.0%,N/A
466,bf5bece5-df84-4c41-9a7f-065c5c444d8e,KSA U13 MLS NEXT HD,KSA,u13,Male,GA,manual,100.0%,N/A
371,08b128f1-7a1a-47cd-9ac2-479e100db482,Achilles 13,Achilles Football Club,u17,Male,MD,manual,100.0%,N/A
862,0844468d-023a-4d9f-afdd-3d2adc1440bb,Sporting Athletic Club U13 MLS NEXT HD,Sporting Athletic Club,u13,Male,DE,manual,100.0%,N/A
27,7775a865-f04d-427a-a9de-155539151602,New England Revolution Academy 2013s,New England Revolution,u13,Male,MA,manual,100.0%,N/A
1406,cac3f921-a6de-410a-9ae3-89ba83178d1e,Huntsville City FC U13 MLS NEXT HD,Huntsville City FC,u13,Male,AL,manual,100.0%,N/A
196,8c9b6e81-cacf-4af7-a7e2-08707d9ef13d,New York City FC U13 MLS NEXT HD,New York City FC,u13,Male,NY,manual,100.0%,N/A
72,95bcde47-d43f-4603-bd6f-37d1b7d0c57b,Seacoast United U13 MLS NEXT HD,Seacoast United,u13,Male,NH,manual,100.0%,N/A
1407,0fb2188b-b850-4800-8680-4cac1c785f52,NVA MLS Next 13,Northern Virginia Alliance,u13,Male,VA,manual,100.0%,N/A
13,894ef6d1-c590-4bb7-b365-c00777972d4d,New York Red Bulls U13 MLS NEXT HD,New York Red Bulls,u13,Male,NY,manual,100.0%,N/A
867,f8710e02-483b-402d-9902-e7083947bcd7,Global Football Innovation Academy U13 MLS NEXT HD,Global Football Innovation Academy,u13,Male,TX,manual,100.0%,N/A
62,e39045b7-8280-4e64-9c44-c5d66dc6b90e,MLS NEXT '13,FC DELCO,u13,Male,PA,manual,100.0%,N/A
1140,4d3c2278-4fef-44d9-a378-d761e3f7e3a6,Hoosier Premier U13 MLS NEXT HD,Hoosier Premier,u13,Male,IN,manual,100.0%,N/A
1345,ea96c528-559f-45b3-963c-0fd990525262,Skyline Soccer Association U13 MLS NEXT AD,Skyline Soccer Association,u13,Male,CO,manual,100.0%,N/A
1299,18f45cb0-3d17-4d53-ad7a-4ff7b9211e98,Lowcountry United U13 MLS NEXT AD,Lowcountry United,u13,Male,SC,manual,100.0%,N/A
48,62af189c-3e64-4bae-9def-a14918c4fb0d,Indy Eleven 2013B Academy 1,Indy Eleven Academy,u13,Male,IN,manual,100.0%,N/A
1326,a28e9f98-0b7c-46d9-bbc0-4824b05ef8a5,Aspire FC U13 MLS NEXT AD,Aspire FC,u13,Male,TX,manual,100.0%,N/A
1283,54cdcc3e-b84b-4846-ad45-8d7752203960,Cedar Stars Academy Newark U13 MLS NEXT AD,Cedar Stars Academy Newark,u13,Male,NJ,manual,100.0%,N/A
1269,1aaa458c-91d6-47f0-b1da-621e3cb5baba,Hornets U13 (2013) MLS Next AD North,Dallas Hornets,u13,Male,TX,manual,100.0%,N/A
1311,589676a2-d99a-4a31-8423-9c386a9ee0a4,Michigan Jaguars Pre MLS 2013 Boys 2,Michigan Jaguars,u13,Male,MI,manual,100.0%,N/A
1276,0b4d0f9f-bc4f-4995-ab66-7cceffbc59af,Ginga FC Boys 2013 MLS NEXT Academy Division,Ginga FC,u13,Male,CT,manual,100.0%,N/A
1302,dabf78c2-8627-4ae9-be25-6ccbdcefc68a,Roswell Soccer Club U13 MLS NEXT AD,Roswell Soccer Club,u13,Male,GA,manual,100.0%,N/A
1292,8d530dc3-ac3e-4297-a9bb-7bf6fed93830,FC Richmond 2013 Magic Elite MLS NEXT AD,FC Richmond,u13,Male,VA,manual,100.0%,N/A
1272,4637b4fb-6f03-4ed9-a0a8-c9a299e6f5f3,CCFC 13U MLS Next,Carolina Core FC Youth,u13,Male,NC,manual,100.0%,N/A
29,167f9b57-7036-46e6-abfd-7392400c3208,PA Classics Hbg 2013 Boys U13 MLS Next 2,PA Classics Harrisburg (LDSA),u13,Male,PA,manual,100.0%,N/A
562,a3dde6c0-438a-4294-8d4a-82e3794db62c,Lex Sporting Club 13B Green MLS Next 2,Lexington Sporting,u13,Male,KY,manual,100.0%,N/A
490,03d152b5-c13c-4972-a917-05f141d876bd,Ironbound Soccer Club U13 MLS NEXT AD,Ironbound Soccer Club,u13,Male,NJ,manual,100.0%,N/A
1265,0ce7442b-687b-49b8-bde5-6688e36b6c9d,2013/U13 Boys: MLS Next Academy Division,Seacoast United Massachusetts,u13,Male,MA,manual,100.0%,N/A
459,99744aab-9488-40de-a28d-0bb76566e798,Beadling SC U13 MLS NEXT AD,Beadling SC,u13,Male,PA,manual,100.0%,N/A
933,ed1a85c2-0e8a-48cb-aab8-5d699f3e0a05,Manitou FC 2013 Boys Orange 1,Manitou FC,u13,Male,MN,manual,100.0%,N/A
1309,11217cbe-90dd-479a-9a8f-577cc93e98c8,Michigan Bucks Academy 13 B MLS NEXT AD,,u13,Male,MI,manual,100.0%,N/A
1315,c5e32ef0-41a5-476e-9c65-9c407319df20,EBU13U BOYS MLS NEXT,Elmbrook United,u13,Male,WI,manual,100.0%,N/A
1319,055a8f10-f3de-48c0-b1c1-ea13ed8551bd,TFE 13 Boys Pre-EA,Tonka Fusion Elite,u14,Male,MN,manual,100.0%,N/A
1285,b31ad666-edce-405c-8a7c-8eb51091cc76,Long Island Slammers U13 MLS NEXT AD,Long Island Slammers,u13,Male,NY,manual,100.0%,N/A
1293,ca8cb48b-5c2f-4613-a64c-e61493202867,Loudoun MLS Next II 2013B,Loudoun Soccer Club,u13,Male,VA,manual,100.0%,N/A
402,2a107fc6-06bb-4349-b4a5-0ae731f855f9,Valeo FC 2013 Boston Benfica,,u13,Male,MA,manual,100.0%,N/A
496,f210bd9c-ae89-4f27-af1c-38d7b2232753,FA Euro New York U13 MLS NEXT AD,FA Euro New York,u13,Male,NY,manual,100.0%,N/A
1289,57dd49ae-9be5-44f7-9c71-25ee895e7e10,PDA 2013 MLS NEXT AD,Players Development Academy,u13,Male,NJ,manual,100.0%,N/A
882,ef908884-54c7-48d1-b0d0-9d2ffeb4d3ff,2013 MLS Next AD,Downtown Las Vegas SC,u13,Male,NV,manual,100.0%,N/A
1320,ef0d3381-429f-4dfc-bc7f-27a93a1b3dcb,WIUFC 2013 Boys Premier,Wisconsin United FC,u13,Male,WI,manual,100.0%,N/A
1295,662e5f38-923d-46ed-9f12-d47ae4216621,VA Rush 2013B Rush,VA Rush Soccer Club,u13,Male,VA,manual,100.0%,N/A
1344,2acfd30a-a0e4-4c50-bcb0-37c605217612,Grand Junction SC 2013B Premier,Grand Junction SC,u13,Male,CO,manual,100.0%,N/A
1291,8f934dce-e56b-4650-a2c5-47775987ed9a,Trenton City Soccer Club U13 MLS NEXT AD,Trenton City Soccer Club,u13,Male,NJ,manual,100.0%,N/A
1296,eb70cab1-77b3-4ff3-b620-6ecf5e2a8665,Carolina Velocity U13 MLS Next AD,Carolina Velocity FC,u13,Male,NC,manual,100.0%,N/A
1275,13527b52-5091-437e-8fee-44600db23f7a,Connecticut Rush U13 MLS NEXT AD,Connecticut Rush,u13,Male,CT,manual,100.0%,N/A
