modular11_id,modular11_club,modular11_team_names,modular11_games,confidence,db_team_id,db_team_name,db_age_group,approve
585,NONA Soccer Academy,NONA Soccer Academy U13 AD | NONA Soccer Academy U14 AD | NONA Soccer Academy U15 AD | NONA Soccer Academy U16 AD | NONA Soccer Academy U17 AD,46,83.3,6954c634-44cb-4400-a715-243d10f0e0e9,Conval Soccer 2013 Girls U12,u13,
585,NONA Soccer Academy,NONA Soccer Academy U13 AD | NONA Soccer Academy U14 AD | NONA Soccer Academy U15 AD | NONA Soccer Academy U16 AD | NONA Soccer Academy U17 AD,46,83.3,910bba49-e3df-4538-a742-78afc03cd88d,Conval Soccer 2011 Girls U15,u16,
1272,Carolina Core FC,Carolina Core FC U13 AD | Carolina Core FC U14 AD | Carolina Core FC U15 AD | Carolina Core FC U16 AD | Carolina Core FC U17 AD,33,83.3,6ad4ae09-2bdc-4ac7-a7a3-aaadc8ba475a,Carolina FC 2009 Boys Blue,u17,
1272,Carolina Core FC,Carolina Core FC U13 AD | Carolina Core FC U14 AD | Carolina Core FC U15 AD | Carolina Core FC U16 AD | Carolina Core FC U17 AD,33,83.3,5fff3443-37ff-403e-ba01-9101bd028d47,Carolina FC 2015 Boys Blue,u11,
1272,Carolina Core FC,Carolina Core FC U13 AD | Carolina Core FC U14 AD | Carolina Core FC U15 AD | Carolina Core FC U16 AD | Carolina Core FC U17 AD,33,83.3,6488d2ba-f4ff-452d-a370-d64bcc0e9094,Carolina FC 2012 Girls Blue,u13,
1075,Colorado Rapids Youth Soccer Club,Colorado Rapids Youth Soccer Club U13 HD | Colorado Rapids Youth Soccer Club U14 HD,22,83.3,b7248664-8bb7-4dd0-aec0-7f0c4f17782b,Colorado Rapids 2007 MLS,u18,
494,Charlotte Independence Soccer Club,Charlotte Independence Soccer Club U13 AD | Charlotte Independence Soccer Club U14 AD | Charlotte Independence Soccer Club U15 AD | Charlotte Independence Soccer Club U16 AD | Charlotte Independence Soccer Club U17 AD | Charlotte Independence U13 HD | Charlotte Independence U14 HD | Charlotte Independence U15 HD | Charlotte Independence U16 HD | Charlotte Independence U17 HD,106,83.0,d0873afd-acc5-4c19-b701-f164be280b88,Charlotte Independence 12 BECNL,u14,
396,City SC Southwest,City SC Southwest U13 HD | City SC Southwest U14 HD | City SC Southwest U15 HD | City SC Southwest U16 HD | City SC Southwest U17 HD,153,82.9,45900b51-ff02-43d5-906f-3175cb8ca745,City SC Southwest B08 EA,u18,
1409,City SC Southwest,City SC Southwest U13 AD | City SC Southwest U14 AD | City SC Southwest U15 AD | City SC Southwest U16 AD | City SC Southwest U17 AD,44,82.9,45900b51-ff02-43d5-906f-3175cb8ca745,City SC Southwest B08 EA,u18,
105,Ballistic United,Ballistic United U13 AD | Ballistic United U13 HD | Ballistic United U14 AD | Ballistic United U14 HD | Ballistic United U15 AD | Ballistic United U15 HD | Ballistic United U16 AD | Ballistic United U16 HD | Ballistic United U17 AD | Ballistic United U17 HD,176,82.8,216a4bea-b6d2-4a2a-a868-d8a1cc2bd273,All United SC,u11,
105,Ballistic United,Ballistic United U13 AD | Ballistic United U13 HD | Ballistic United U14 AD | Ballistic United U14 HD | Ballistic United U15 AD | Ballistic United U15 HD | Ballistic United U16 AD | Ballistic United U16 HD | Ballistic United U17 AD | Ballistic United U17 HD,176,82.8,cb0c0249-d69e-48e2-9abd-a9fb4c808410,All United SC,u10,
1323,Ozark United FC Academy,Ozark United FC Academy U13 AD | Ozark United FC Academy U14 AD | Ozark United FC Academy U15 AD | Ozark United FC Academy U16 AD | Ozark United FC Academy U17 AD,70,82.8,d588f32e-a3f5-4d5b-a43e-5b81976eeac1,Lake United FC 2008 Elite,u18,
1323,Ozark United FC Academy,Ozark United FC Academy U13 AD | Ozark United FC Academy U14 AD | Ozark United FC Academy U15 AD | Ozark United FC Academy U16 AD | Ozark United FC Academy U17 AD,70,82.8,896f2b33-9d31-4c16-9328-6480ac8cd022,Lake United FC 2013 Elite,u13,
1323,Ozark United FC Academy,Ozark United FC Academy U13 AD | Ozark United FC Academy U14 AD | Ozark United FC Academy U15 AD | Ozark United FC Academy U16 AD | Ozark United FC Academy U17 AD,70,82.8,0e957981-9f63-4677-95ee-be79bb161548,Lake United FC 2010 Select,u16,
1270,Lou Fusz Athletic 2,Lou Fusz Athletic 2 U13 AD | Lou Fusz Athletic 2 U14 AD,18,82.6,c86b511a-1876-44da-a0f1-15c2ad9669cf,Lou Fusz Athletic 2008B MLS,u18,
363,Sol SC Florida,Sol SC Florida U13 AD | Sol SC Florida U13 HD | Sol SC Florida U14 AD | Sol SC Florida U14 HD | Sol SC Florida U15 AD | Sol SC Florida U15 HD | Sol SC Florida U16 AD | Sol SC Florida U16 HD | Sol SC Florida U17 AD | Sol SC Florida U17 HD,198,82.4,a876b30e-d069-4b18-9b5f-909a9f3e0415,Sol SC Florida 2009G,u17,
363,Sol SC Florida,Sol SC Florida U13 AD | Sol SC Florida U13 HD | Sol SC Florida U14 AD | Sol SC Florida U14 HD | Sol SC Florida U15 AD | Sol SC Florida U15 HD | Sol SC Florida U16 AD | Sol SC Florida U16 HD | Sol SC Florida U17 AD | Sol SC Florida U17 HD,198,82.4,0ff7406f-8df3-4ec4-933e-095932a0015f,Sol SC Florida 2012G,u14,
